J1, J2, J3, J4, J5, J6, ERROR, STEP_MM, STEP_DEG, MOVE_ID
0.0000000, -90.0000000, 90.0000000, 0.0000000, 0.0000000, -0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000
0.0000000, -90.0000000, 90.0000000, 0.0000000, 0.0000000, -0.0000000, 0.0000000, 0.0000000, 0.0000000, 2.0000000
2.5257127, -86.1953863, 88.2920191, 4.8515933, -3.2282256, -4.3263912, 0.0000000, 50.6509931, 4.8515933, 2.0000000
5.0514254, -82.3907727, 86.5840382, 9.7031866, -6.4564513, -8.6527823, 0.0000000, 51.5188210, 4.8515933, 2.0000000
7.5771381, -78.5861590, 84.8760572, 14.5547800, -9.6846769, -12.9791735, 0.0000000, 52.4363866, 4.8515933, 2.0000000
10.1028508, -74.7815453, 83.1680763, 19.4063733, -12.9129025, -17.3055647, 0.0000000, 53.4037066, 4.8515933, 2.0000000
12.6285635, -70.9769316, 81.4600954, 24.2579666, -16.1411281, -21.6319558, 0.0000000, 54.4188134, 4.8515933, 2.0000000
15.1542762, -67.1723180, 79.7521145, 29.1095599, -19.3693538, -25.9583470, 0.0000000, 55.4776114, 4.8515933, 2.0000000
17.6799889, -63.3677043, 78.0441336, 33.9611532, -22.5975794, -30.2847382, 0.0000000, 56.5738482, 4.8515933, 2.0000000
20.2057016, -59.5630906, 76.3361526, 38.8127466, -25.8258050, -34.6111294, 0.0000000, 57.6991956, 4.8515933, 2.0000000
22.7314143, -55.7584770, 74.6281717, 43.6643399, -29.0540306, -38.9375205, 0.0000000, 58.8434304, 4.8515933, 2.0000000
25.2571270, -51.9538633, 72.9201908, 48.5159332, -32.2822563, -43.2639117, 0.0000000, 59.9946980, 4.8515933, 2.0000000
27.7828397, -48.1492496, 71.2122099, 53.3675265, -35.5104819, -47.5903029, 0.0000000, 61.1398339, 4.8515933, 2.0000000
