J1, J2, J3, J4, J5, J6, ERROR, STEP_MM, STEP_DEG, MOVE_ID
0.0000000, -89.9999847, 90.0000076, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000
0.0000000, -89.9999847, 90.0000076, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 2.0000000
1.0114659, -89.2647433, 90.0003978, -4.2941895, 0.0000000, 0.0000000, 0.0000000, 15.4245405, 4.2941895, 2.0000000
2.0229318, -88.5295018, 90.0007880, -8.5883789, 0.0000000, 0.0000000, 0.0000000, 15.5197835, 4.2941895, 2.0000000
3.0343977, -87.7942603, 90.0011782, -12.8825684, 0.0000000, 0.0000000, 0.0000000, 15.6143049, 4.2941895, 2.0000000
4.0458636, -87.0590188, 90.0015684, -17.1767578, 0.0000000, 0.0000000, 0.0000000, 15.7080578, 4.2941895, 2.0000000
5.0573295, -86.3237773, 90.0019586, -21.4709473, 0.0000000, 0.0000000, 0.0000000, 15.8009964, 4.2941895, 2.0000000
6.0687953, -85.5885359, 90.0023488, -25.7651367, 0.0000000, 0.0000000, 0.0000000, 15.8930759, 4.2941895, 2.0000000
7.0802612, -84.8532944, 90.0027390, -30.0593262, 0.0000000, 0.0000000, 0.0000000, 15.9842528, 4.2941895, 2.0000000
7.0802612, -84.8532944, 90.0027390, -30.0593262, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 3.0000000
3.0085899, -84.8532944, 94.6063850, -26.8880940, 0.0000000, 0.0000000, 0.0000000, 67.4783135, 4.6036461, 3.0000000
-1.0630814, -84.8532944, 99.2100311, -23.7168618, 0.0000000, 0.0000000, 0.0000000, 67.2120370, 4.6036461, 3.0000000
-5.1347527, -84.8532944, 103.8136772, -20.5456296, 0.0000000, 0.0000000, 0.0000000, 66.7581997, 4.6036461, 3.0000000
-9.2064240, -84.8532944, 108.4173233, -17.3743974, 0.0000000, 0.0000000, 0.0000000, 66.1237751, 4.6036461, 3.0000000
-13.2780952, -84.8532944, 113.0209694, -14.2031652, 0.0000000, 0.0000000, 0.0000000, 65.3186864, 4.6036461, 3.0000000
-17.3497665, -84.8532944, 117.6246155, -11.0319330, 0.0000000, 0.0000000, 0.0000000, 64.3558332, 4.6036461, 3.0000000
-21.4214378, -84.8532944, 122.2282616, -7.8607009, 0.0000000, 0.0000000, 0.0000000, 63.2511184, 4.6036461, 3.0000000
-25.4931091, -84.8532944, 126.8319077, -4.6894687, 0.0000000, 0.0000000, 0.0000000, 62.0234701, 4.6036461, 3.0000000
-29.5647804, -84.8532944, 131.4355537, -1.5182365, 0.0000000, 0.0000000, 0.0000000, 60.6948454, 4.6036461, 3.0000000
-33.6364517, -84.8532944, 136.0391998, 1.6529957, 0.0000000, 0.0000000, 0.0000000, 59.2901985, 4.6036461, 3.0000000
-33.6364517, -84.8532944, 136.0391998, 1.6529957, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 4.0000000
-33.6364517, -84.8532944, 136.0391998, 1.6529957, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 4.0000000
